Place,District,Type,Budget,Season,Interest,Rating,Approx_Cost,Image_URL,Youtube_Link,Hotel_Budget,Hotel_Budget_Price,Hotel_Premium,Hotel_Premium_Price,Latitude,Longitude,image_url
Jehangir Art Gallery Point,Mumbai,Spiritual,High,All,Adventure,4.5,14625,/static/images/jehangir_art_gallery_point.jpg,https://www.youtube.com/embed/sample_jehangir_art_gallery_point,City Center Guest House Mumbai,1577,Vivanta Plaza Mumbai,6716,18.1084,76.751,https://source.unsplash.com/800x600/?Jehangir%20Art%20Gallery%20Point%2CSpiritual%2CMaharashtra
Katepurna Sanctuary Lake Side,Akola,Wildlife,High,Monsoon,Wildlife,3.9,14956,/static/images/katepurna_sanctuary_lake_side.jpg,https://www.youtube.com/embed/sample_katepurna_sanctuary_lake_side,Pleasant Stay Akola,1551,Novotel Heritage Akola,4289,18.9794,75.4693,https://source.unsplash.com/800x600/?Katepurna%20Sanctuary%20Lake%20Side%2CWildlife%2CMaharashtra
Mangi-Tungi Memorial,Nashik,Nature,Medium,Monsoon,Spiritual,4.2,7489,/static/images/mangi_tungi_memorial.jpg,https://www.youtube.com/embed/sample_mangi_tungi_memorial,Royal Inn Nashik,1294,Gateway Palace Nashik,6738,17.9532,75.0753,https://source.unsplash.com/800x600/?Mangi-Tungi%20Memorial%2CNature%2CMaharashtra
Bhamragarh Wildlife Sanctuary Ancient Site,Gadchiroli,Wildlife,Medium,All,Wildlife,4.0,4522,/static/images/bhamragarh_wildlife_sanctuary_ancient_site.jpg,https://www.youtube.com/embed/sample_bhamragarh_wildlife_sanctuary_ancient_site,Royal Inn Gadchiroli,1624,Orchid Resort Gadchiroli,5510,17.1471,77.678,https://source.unsplash.com/800x600/?Bhamragarh%20Wildlife%20Sanctuary%20Ancient%20Site%2CWildlife%2CMaharashtra
Balapur Fort Point,Akola,Fort,Low,Winter,Adventure,4.4,3617,/static/images/balapur_fort_point.jpg,https://www.youtube.com/embed/sample_balapur_fort_point,Hotel Sai Akola,1512,Orchid Resort Akola,5340,19.2846,76.3282,https://source.unsplash.com/800x600/?Balapur%20Fort%20Point%2CFort%2CMaharashtra
Siddheshwar Dam Memorial,Hingoli,Hill,High,Monsoon,Cultural,3.8,11551,/static/images/siddheshwar_dam_memorial.jpg,https://www.youtube.com/embed/sample_siddheshwar_dam_memorial,Royal Inn Hingoli,1080,Marriott Executive Hingoli,4232,20.7371,76.5609,https://source.unsplash.com/800x600/?Siddheshwar%20Dam%20Memorial%2CHill%2CMaharashtra
Bahrot Caves Garden,Palghar,Historical,Low,Winter,Cultural,3.7,3140,/static/images/bahrot_caves_garden.jpg,https://www.youtube.com/embed/sample_bahrot_caves_garden,Green Leaf Lodge Palghar,1764,Marriott Executive Palghar,6214,20.9978,79.7927,https://source.unsplash.com/800x600/?Bahrot%20Caves%20Garden%2CHistorical%2CMaharashtra
Kapildhara Waterfall Valley,Beed,Nature,Medium,All,Nature,4.3,7154,/static/images/kapildhara_waterfall_valley.jpg,https://www.youtube.com/embed/sample_kapildhara_waterfall_valley,The Residency Beed,1701,Vivanta Plaza Beed,5574,17.0289,79.596,https://source.unsplash.com/800x600/?Kapildhara%20Waterfall%20Valley%2CNature%2CMaharashtra
Moti Bagh Lake Side,Jalna,Fort,Low,Winter,Wildlife,3.8,2152,/static/images/moti_bagh_lake_side.jpg,https://www.youtube.com/embed/sample_moti_bagh_lake_side,City Center Guest House Jalna,1112,Orchid Resort Jalna,6126,19.9002,74.3617,https://source.unsplash.com/800x600/?Moti%20Bagh%20Lake%20Side%2CFort%2CMaharashtra
Ghodbunder Fort,Thane,Fort,Medium,Winter,Adventure,4.7,6961,/static/images/ghodbunder_fort.jpg,https://www.youtube.com/embed/sample_ghodbunder_fort,Green Leaf Lodge Thane,1774,The Taj Mahal Inn Thane,6643,16.9794,76.8469,https://source.unsplash.com/800x600/?Ghodbunder%20Fort%2CFort%2CMaharashtra
Siddheshwar Mandir,Ahmednagar,Spiritual,High,Monsoon,Spiritual,4.0,10244,/static/images/siddheshwar_mandir.jpg,https://www.youtube.com/embed/sample_siddheshwar_mandir,Heritage Home Ahmednagar,1709,The Grand Regency Ahmednagar,5320,19.1978,77.029,https://source.unsplash.com/800x600/?Siddheshwar%20Mandir%2CSpiritual%2CMaharashtra
Jivdani Temple Heritage,Palghar,Spiritual,Medium,All,Spiritual,4.0,5131,/static/images/jivdani_temple_heritage.jpg,https://www.youtube.com/embed/sample_jivdani_temple_heritage,Pleasant Stay Palghar,1523,The Taj Mahal Inn Palghar,4340,20.7361,75.1415,https://source.unsplash.com/800x600/?Jivdani%20Temple%20Heritage%2CSpiritual%2CMaharashtra
Mahim Fort,Mumbai,Fort,High,All,Adventure,3.8,13053,/static/images/mahim_fort.jpg,https://www.youtube.com/embed/sample_mahim_fort,Hotel Sai Mumbai,1420,The Taj Mahal Inn Mumbai,4668,18.6201,76.9436,https://source.unsplash.com/800x600/?Mahim%20Fort%2CFort%2CMaharashtra
Bhandardara Dam,Ahmednagar,Fort,Low,Winter,Adventure,3.6,3574,/static/images/bhandardara_dam.jpg,https://www.youtube.com/embed/sample_bhandardara_dam,Heritage Home Ahmednagar,1346,Marriott Executive Ahmednagar,4107,17.5601,77.5684,https://source.unsplash.com/800x600/?Bhandardara%20Dam%2CFort%2CMaharashtra
Narsinhwadi Museum,Kolhapur,Hill,Medium,All,Relaxation,4.6,7875,/static/images/narsinhwadi_museum.jpg,https://www.youtube.com/embed/sample_narsinhwadi_museum,Green Leaf Lodge Kolhapur,1325,Orchid Resort Kolhapur,3507,16.3447,77.6907,https://source.unsplash.com/800x600/?Narsinhwadi%20Museum%2CHill%2CMaharashtra
Futala Lake Point,Nagpur,Historical,High,Winter,Adventure,4.9,8952,/static/images/futala_lake_point.jpg,https://www.youtube.com/embed/sample_futala_lake_point,Hotel Sai Nagpur,1070,The Grand Regency Nagpur,6451,20.2086,73.1483,https://source.unsplash.com/800x600/?Futala%20Lake%20Point%2CHistorical%2CMaharashtra
Balapur Fort View,Akola,Fort,High,Winter,Adventure,4.8,14995,/static/images/balapur_fort_view.jpg,https://www.youtube.com/embed/sample_balapur_fort_view,Green Leaf Lodge Akola,1782,Marriott Executive Akola,6800,19.7572,77.9578,https://source.unsplash.com/800x600/?Balapur%20Fort%20View%2CFort%2CMaharashtra
Vengurla Beach Point,Sindhudurg,Beach,High,Monsoon,Relaxation,4.2,14284,/static/images/vengurla_beach_point.jpg,https://www.youtube.com/embed/sample_vengurla_beach_point,Pleasant Stay Sindhudurg,1549,Novotel Heritage Sindhudurg,4919,19.1693,74.1579,https://source.unsplash.com/800x600/?Vengurla%20Beach%20Point%2CBeach%2CMaharashtra
Pench National Park View,Nagpur,Wildlife,High,Winter,Wildlife,4.8,10083,/static/images/pench_national_park_view.jpg,https://www.youtube.com/embed/sample_pench_national_park_view,Royal Inn Nagpur,1557,The Grand Regency Nagpur,5887,16.0398,79.5857,https://source.unsplash.com/800x600/?Pench%20National%20Park%20View%2CWildlife%2CMaharashtra
Hedvi Beach Ancient Site,Ratnagiri,Beach,Low,All,Relaxation,3.6,3264,/static/images/hedvi_beach_ancient_site.jpg,https://www.youtube.com/embed/sample_hedvi_beach_ancient_site,Green Leaf Lodge Ratnagiri,1436,The Grand Regency Ratnagiri,6085,16.3779,78.6094,https://source.unsplash.com/800x600/?Hedvi%20Beach%20Ancient%20Site%2CBeach%2CMaharashtra
Siddheshwar Temple View,Latur,Spiritual,Medium,All,Spiritual,3.8,7797,/static/images/siddheshwar_temple_view.jpg,https://www.youtube.com/embed/sample_siddheshwar_temple_view,Royal Inn Latur,1276,The Grand Regency Latur,4318,18.0881,73.4442,https://source.unsplash.com/800x600/?Siddheshwar%20Temple%20View%2CSpiritual%2CMaharashtra
Tapola Heritage,Satara,Hill,Low,All,Wildlife,4.2,2682,/static/images/tapola_heritage.jpg,https://www.youtube.com/embed/sample_tapola_heritage,Pleasant Stay Satara,1326,The Grand Regency Satara,5209,17.8481,79.3471,https://source.unsplash.com/800x600/?Tapola%20Heritage%2CHill%2CMaharashtra
Gaiety Galaxy,Mumbai,Spiritual,High,Monsoon,Wildlife,4.2,9881,/static/images/gaiety_galaxy.jpg,https://www.youtube.com/embed/sample_gaiety_galaxy,The Residency Mumbai,1033,Orchid Resort Mumbai,3750,18.179,73.6789,https://source.unsplash.com/800x600/?Gaiety%20Galaxy%2CSpiritual%2CMaharashtra
Dharur Fort Museum,Beed,Fort,Medium,Winter,Adventure,4.4,6081,/static/images/dharur_fort_museum.jpg,https://www.youtube.com/embed/sample_dharur_fort_museum,City Center Guest House Beed,1324,Gateway Palace Beed,5838,18.488,73.4415,https://source.unsplash.com/800x600/?Dharur%20Fort%20Museum%2CFort%2CMaharashtra
Dajipur Wildlife Sanctuary,Kolhapur,Wildlife,Medium,All,Wildlife,4.3,5875,/static/images/dajipur_wildlife_sanctuary.jpg,https://www.youtube.com/embed/sample_dajipur_wildlife_sanctuary,City Center Guest House Kolhapur,1206,The Taj Mahal Inn Kolhapur,4584,18.3815,74.1004,https://source.unsplash.com/800x600/?Dajipur%20Wildlife%20Sanctuary%2CWildlife%2CMaharashtra
Naldurg Fort Heritage,Dharashiv,Fort,High,Winter,Adventure,3.8,13366,/static/images/naldurg_fort_heritage.jpg,https://www.youtube.com/embed/sample_naldurg_fort_heritage,Royal Inn Dharashiv,1483,The Grand Regency Dharashiv,5546,17.0253,76.2062,https://source.unsplash.com/800x600/?Naldurg%20Fort%20Heritage%2CFort%2CMaharashtra
Kala Darwaza Museum,Chhatrapati Sambhaji Nagar,Historical,Low,All,Nature,4.7,2611,/static/images/kala_darwaza_museum.jpg,https://www.youtube.com/embed/sample_kala_darwaza_museum,Pleasant Stay Chhatrapati Sambhaji Nagar,1107,Vivanta Plaza Chhatrapati Sambhaji Nagar,5402,19.5788,78.4997,https://source.unsplash.com/800x600/?Kala%20Darwaza%20Museum%2CHistorical%2CMaharashtra
Songir Fort Ancient Site,Dhule,Fort,Low,All,Adventure,4.5,2173,/static/images/songir_fort_ancient_site.jpg,https://www.youtube.com/embed/sample_songir_fort_ancient_site,City Center Guest House Dhule,1528,Orchid Resort Dhule,6676,17.0792,77.0216,https://source.unsplash.com/800x600/?Songir%20Fort%20Ancient%20Site%2CFort%2CMaharashtra
Karli Backwaters Memorial,Sindhudurg,Nature,Medium,Monsoon,Wildlife,4.4,6053,/static/images/karli_backwaters_memorial.jpg,https://www.youtube.com/embed/sample_karli_backwaters_memorial,Royal Inn Sindhudurg,1468,Gateway Palace Sindhudurg,5326,17.7251,77.8805,https://source.unsplash.com/800x600/?Karli%20Backwaters%20Memorial%2CNature%2CMaharashtra
Chikhaldara Hill Station Memorial,Amravati,Hill,High,Monsoon,Nature,3.8,8593,/static/images/chikhaldara_hill_station_memorial.jpg,https://www.youtube.com/embed/sample_chikhaldara_hill_station_memorial,Green Leaf Lodge Amravati,1158,The Taj Mahal Inn Amravati,4061,16.4307,79.8314,https://source.unsplash.com/800x600/?Chikhaldara%20Hill%20Station%20Memorial%2CHill%2CMaharashtra
Tipeshwar Wildlife Sanctuary Garden,Yavatmal,Wildlife,High,All,Wildlife,4.2,12534,/static/images/tipeshwar_wildlife_sanctuary_garden.jpg,https://www.youtube.com/embed/sample_tipeshwar_wildlife_sanctuary_garden,Royal Inn Yavatmal,1608,Novotel Heritage Yavatmal,6797,19.7631,76.1795,https://source.unsplash.com/800x600/?Tipeshwar%20Wildlife%20Sanctuary%20Garden%2CWildlife%2CMaharashtra
Gosekhurd Dam Valley,Bhandara,Spiritual,High,All,Spiritual,4.6,11854,/static/images/gosekhurd_dam_valley.jpg,https://www.youtube.com/embed/sample_gosekhurd_dam_valley,Pleasant Stay Bhandara,1648,Novotel Heritage Bhandara,6377,17.0613,78.5026,https://source.unsplash.com/800x600/?Gosekhurd%20Dam%20Valley%2CSpiritual%2CMaharashtra
Anjaneri Hills Heritage,Nashik,Hill,Low,All,Nature,4.7,2833,/static/images/anjaneri_hills_heritage.jpg,https://www.youtube.com/embed/sample_anjaneri_hills_heritage,Hotel Sai Nashik,1025,The Grand Regency Nashik,4718,17.118,79.5892,https://source.unsplash.com/800x600/?Anjaneri%20Hills%20Heritage%2CHill%2CMaharashtra
Koka Wildlife Sanctuary Heritage,Bhandara,Wildlife,Low,Winter,Wildlife,4.5,1671,/static/images/koka_wildlife_sanctuary_heritage.jpg,https://www.youtube.com/embed/sample_koka_wildlife_sanctuary_heritage,The Residency Bhandara,1174,The Grand Regency Bhandara,5316,20.115,77.3676,https://source.unsplash.com/800x600/?Koka%20Wildlife%20Sanctuary%20Heritage%2CWildlife%2CMaharashtra
Hazra Fall View,Gondia,Nature,Medium,Winter,Wildlife,3.8,5190,/static/images/hazra_fall_view.jpg,https://www.youtube.com/embed/sample_hazra_fall_view,The Residency Gondia,1458,The Taj Mahal Inn Gondia,4970,18.5553,73.9973,https://source.unsplash.com/800x600/?Hazra%20Fall%20View%2CNature%2CMaharashtra
Mahur Renuka Mata Temple,Nanded,Spiritual,Medium,Winter,Spiritual,4.7,7668,/static/images/mahur_renuka_mata_temple.jpg,https://www.youtube.com/embed/sample_mahur_renuka_mata_temple,City Center Guest House Nanded,1187,Novotel Heritage Nanded,3858,18.8419,78.6312,https://source.unsplash.com/800x600/?Mahur%20Renuka%20Mata%20Temple%2CSpiritual%2CMaharashtra
Hiware Bazar Lake Side,Ahmednagar,Beach,Medium,Winter,Wildlife,4.3,6552,/static/images/hiware_bazar_lake_side.jpg,https://www.youtube.com/embed/sample_hiware_bazar_lake_side,Hotel Sai Ahmednagar,1106,Marriott Executive Ahmednagar,3634,18.7215,74.6029,https://source.unsplash.com/800x600/?Hiware%20Bazar%20Lake%20Side%2CBeach%2CMaharashtra
Kandhar Fort View,Nanded,Fort,Low,Winter,Adventure,4.9,3541,/static/images/kandhar_fort_view.jpg,https://www.youtube.com/embed/sample_kandhar_fort_view,City Center Guest House Nanded,1244,Marriott Executive Nanded,6577,19.0039,75.3202,https://source.unsplash.com/800x600/?Kandhar%20Fort%20View%2CFort%2CMaharashtra
Jintur Jain Temple Lake Side,Parbhani,Spiritual,Low,Winter,Spiritual,4.6,3138,/static/images/jintur_jain_temple_lake_side.jpg,https://www.youtube.com/embed/sample_jintur_jain_temple_lake_side,City Center Guest House Parbhani,1080,Marriott Executive Parbhani,5769,16.1652,74.9361,https://source.unsplash.com/800x600/?Jintur%20Jain%20Temple%20Lake%20Side%2CSpiritual%2CMaharashtra
Harnai Beach Garden,Ratnagiri,Beach,Low,All,Relaxation,4.5,3802,/static/images/harnai_beach_garden.jpg,https://www.youtube.com/embed/sample_harnai_beach_garden,Hotel Sai Ratnagiri,1374,The Taj Mahal Inn Ratnagiri,5338,17.251,73.7565,https://source.unsplash.com/800x600/?Harnai%20Beach%20Garden%2CBeach%2CMaharashtra
Naroshankar Temple Heritage,Nashik,Spiritual,Low,Winter,Spiritual,4.1,1769,/static/images/naroshankar_temple_heritage.jpg,https://www.youtube.com/embed/sample_naroshankar_temple_heritage,City Center Guest House Nashik,1619,The Taj Mahal Inn Nashik,5911,18.1802,73.6087,https://source.unsplash.com/800x600/?Naroshankar%20Temple%20Heritage%2CSpiritual%2CMaharashtra
Mallinath Temple Point,Hingoli,Spiritual,Low,Winter,Spiritual,4.6,2299,/static/images/mallinath_temple_point.jpg,https://www.youtube.com/embed/sample_mallinath_temple_point,The Residency Hingoli,1538,Gateway Palace Hingoli,5324,16.484,78.2756,https://source.unsplash.com/800x600/?Mallinath%20Temple%20Point%2CSpiritual%2CMaharashtra
Naldurg Fort Valley,Dharashiv,Fort,Low,Winter,Adventure,4.7,3751,/static/images/naldurg_fort_valley.jpg,https://www.youtube.com/embed/sample_naldurg_fort_valley,The Residency Dharashiv,1462,Novotel Heritage Dharashiv,4712,18.7785,79.9626,https://source.unsplash.com/800x600/?Naldurg%20Fort%20Valley%2CFort%2CMaharashtra
Vishwa Shanti Stupa Lake Side,Wardha,Nature,Medium,Monsoon,Relaxation,4.3,5970,/static/images/vishwa_shanti_stupa_lake_side.jpg,https://www.youtube.com/embed/sample_vishwa_shanti_stupa_lake_side,Green Leaf Lodge Wardha,1178,Marriott Executive Wardha,5609,19.6412,79.6555,https://source.unsplash.com/800x600/?Vishwa%20Shanti%20Stupa%20Lake%20Side%2CNature%2CMaharashtra
Great Indian Bustard Sanctuary Heritage,Solapur,Wildlife,High,All,Wildlife,3.6,8555,/static/images/great_indian_bustard_sanctuary_heritage.jpg,https://www.youtube.com/embed/sample_great_indian_bustard_sanctuary_heritage,Heritage Home Solapur,1304,The Grand Regency Solapur,4103,17.2663,75.8432,https://source.unsplash.com/800x600/?Great%20Indian%20Bustard%20Sanctuary%20Heritage%2CWildlife%2CMaharashtra
Kalsubai Peak Ancient Site,Ahmednagar,Hill,High,Winter,Nature,4.5,13514,/static/images/kalsubai_peak_ancient_site.jpg,https://www.youtube.com/embed/sample_kalsubai_peak_ancient_site,Hotel Sai Ahmednagar,1266,Vivanta Plaza Ahmednagar,6614,16.3627,75.3377,https://source.unsplash.com/800x600/?Kalsubai%20Peak%20Ancient%20Site%2CHill%2CMaharashtra
Roshan Gate Garden,Chhatrapati Sambhaji Nagar,Fort,Low,Monsoon,Spiritual,4.2,1581,/static/images/roshan_gate_garden.jpg,https://www.youtube.com/embed/sample_roshan_gate_garden,Pleasant Stay Chhatrapati Sambhaji Nagar,1533,The Grand Regency Chhatrapati Sambhaji Nagar,5631,16.9826,76.206,https://source.unsplash.com/800x600/?Roshan%20Gate%20Garden%2CFort%2CMaharashtra
Narsimha Temple Heritage,Parbhani,Spiritual,Medium,Monsoon,Spiritual,4.6,7738,/static/images/narsimha_temple_heritage.jpg,https://www.youtube.com/embed/sample_narsimha_temple_heritage,Royal Inn Parbhani,1772,The Grand Regency Parbhani,4025,18.889,79.6524,https://source.unsplash.com/800x600/?Narsimha%20Temple%20Heritage%2CSpiritual%2CMaharashtra
Arnala Beach Ancient Site,Palghar,Beach,Medium,Winter,Relaxation,3.7,7848,/static/images/arnala_beach_ancient_site.jpg,https://www.youtube.com/embed/sample_arnala_beach_ancient_site,Hotel Sai Palghar,1617,The Grand Regency Palghar,6136,19.7517,78.3779,https://source.unsplash.com/800x600/?Arnala%20Beach%20Ancient%20Site%2CBeach%2CMaharashtra
Talao Pali Point,Thane,Wildlife,High,Monsoon,Wildlife,4.1,14494,/static/images/talao_pali_point.jpg,https://www.youtube.com/embed/sample_talao_pali_point,Pleasant Stay Thane,1021,The Taj Mahal Inn Thane,3686,19.6849,77.5729,https://source.unsplash.com/800x600/?Talao%20Pali%20Point%2CWildlife%2CMaharashtra
Aundha Nagnath Temple Valley,Hingoli,Spiritual,Low,All,Spiritual,4.8,2000,/static/images/aundha_nagnath_temple_valley.jpg,https://www.youtube.com/embed/sample_aundha_nagnath_temple_valley,The Residency Hingoli,1670,The Taj Mahal Inn Hingoli,6183,20.3685,79.4133,https://source.unsplash.com/800x600/?Aundha%20Nagnath%20Temple%20Valley%2CSpiritual%2CMaharashtra
Laling Fort Heritage,Dhule,Fort,High,All,Adventure,4.2,10601,/static/images/laling_fort_heritage.jpg,https://www.youtube.com/embed/sample_laling_fort_heritage,Green Leaf Lodge Dhule,1634,The Grand Regency Dhule,6656,16.1719,79.0012,https://source.unsplash.com/800x600/?Laling%20Fort%20Heritage%2CFort%2CMaharashtra
Pench National Park Museum,Nagpur,Wildlife,Low,Monsoon,Wildlife,4.1,2280,/static/images/pench_national_park_museum.jpg,https://www.youtube.com/embed/sample_pench_national_park_museum,Heritage Home Nagpur,1645,Gateway Palace Nagpur,6279,18.8556,77.0067,https://source.unsplash.com/800x600/?Pench%20National%20Park%20Museum%2CWildlife%2CMaharashtra
Vishwa Shanti Stupa Point,Wardha,Nature,High,Monsoon,Cultural,4.9,10547,/static/images/vishwa_shanti_stupa_point.jpg,https://www.youtube.com/embed/sample_vishwa_shanti_stupa_point,Heritage Home Wardha,1498,Gateway Palace Wardha,3501,20.0128,78.6671,https://source.unsplash.com/800x600/?Vishwa%20Shanti%20Stupa%20Point%2CNature%2CMaharashtra
Narnala Fort Garden,Akola,Fort,Low,Monsoon,Adventure,3.7,3869,/static/images/narnala_fort_garden.jpg,https://www.youtube.com/embed/sample_narnala_fort_garden,City Center Guest House Akola,1346,Novotel Heritage Akola,6277,17.9241,74.0545,https://source.unsplash.com/800x600/?Narnala%20Fort%20Garden%2CFort%2CMaharashtra
Chandrapur Fort,Chandrapur,Fort,Low,All,Adventure,4.6,2600,/static/images/chandrapur_fort.jpg,https://www.youtube.com/embed/sample_chandrapur_fort,Hotel Sai Chandrapur,1029,Gateway Palace Chandrapur,6211,20.6338,75.6546,https://source.unsplash.com/800x600/?Chandrapur%20Fort%2CFort%2CMaharashtra
Siddheshwar Dam Museum,Hingoli,Fort,High,All,Wildlife,4.7,9292,/static/images/siddheshwar_dam_museum.jpg,https://www.youtube.com/embed/sample_siddheshwar_dam_museum,Green Leaf Lodge Hingoli,1340,Novotel Heritage Hingoli,6677,16.8396,75.7752,https://source.unsplash.com/800x600/?Siddheshwar%20Dam%20Museum%2CFort%2CMaharashtra
Sarasgad Fort View,Raigad,Fort,Low,All,Adventure,4.7,3069,/static/images/sarasgad_fort_view.jpg,https://www.youtube.com/embed/sample_sarasgad_fort_view,Green Leaf Lodge Raigad,1657,Gateway Palace Raigad,3684,20.7427,78.4892,https://source.unsplash.com/800x600/?Sarasgad%20Fort%20View%2CFort%2CMaharashtra
Zero Mile Marker Lake Side,Nagpur,Wildlife,High,Monsoon,Nature,3.5,9782,/static/images/zero_mile_marker_lake_side.jpg,https://www.youtube.com/embed/sample_zero_mile_marker_lake_side,Heritage Home Nagpur,1344,Orchid Resort Nagpur,6262,17.3796,79.5728,https://source.unsplash.com/800x600/?Zero%20Mile%20Marker%20Lake%20Side%2CWildlife%2CMaharashtra
Tipeshwar Wildlife Sanctuary Point,Yavatmal,Wildlife,Medium,Winter,Wildlife,3.6,5706,/static/images/tipeshwar_wildlife_sanctuary_point.jpg,https://www.youtube.com/embed/sample_tipeshwar_wildlife_sanctuary_point,Heritage Home Yavatmal,1726,Vivanta Plaza Yavatmal,6710,18.5841,73.8594,https://source.unsplash.com/800x600/?Tipeshwar%20Wildlife%20Sanctuary%20Point%2CWildlife%2CMaharashtra
Navegaon National Park Valley,Gondia,Wildlife,High,Monsoon,Wildlife,4.4,9051,/static/images/navegaon_national_park_valley.jpg,https://www.youtube.com/embed/sample_navegaon_national_park_valley,Green Leaf Lodge Gondia,1537,The Grand Regency Gondia,5136,20.2505,75.0793,https://source.unsplash.com/800x600/?Navegaon%20National%20Park%20Valley%2CWildlife%2CMaharashtra
Sarang Kheda Point,Nandurbar,Nature,High,Winter,Nature,3.9,14130,/static/images/sarang_kheda_point.jpg,https://www.youtube.com/embed/sample_sarang_kheda_point,Royal Inn Nandurbar,1121,Vivanta Plaza Nandurbar,6085,19.4461,77.9792,https://source.unsplash.com/800x600/?Sarang%20Kheda%20Point%2CNature%2CMaharashtra
Tipeshwar Wildlife Sanctuary Heritage,Yavatmal,Wildlife,High,Winter,Wildlife,4.7,13121,/static/images/tipeshwar_wildlife_sanctuary_heritage.jpg,https://www.youtube.com/embed/sample_tipeshwar_wildlife_sanctuary_heritage,Green Leaf Lodge Yavatmal,1132,Orchid Resort Yavatmal,4411,16.6914,78.9814,https://source.unsplash.com/800x600/?Tipeshwar%20Wildlife%20Sanctuary%20Heritage%2CWildlife%2CMaharashtra
Vishnupuri Dam Ancient Site,Nanded,Fort,High,Winter,Nature,4.7,9372,/static/images/vishnupuri_dam_ancient_site.jpg,https://www.youtube.com/embed/sample_vishnupuri_dam_ancient_site,Pleasant Stay Nanded,1588,Marriott Executive Nanded,4289,18.6051,73.9641,https://source.unsplash.com/800x600/?Vishnupuri%20Dam%20Ancient%20Site%2CFort%2CMaharashtra
Sailani Baba Dargah Museum,Buldhana,Spiritual,Medium,Winter,Spiritual,4.7,4815,/static/images/sailani_baba_dargah_museum.jpg,https://www.youtube.com/embed/sample_sailani_baba_dargah_museum,Hotel Sai Buldhana,1388,Marriott Executive Buldhana,5635,19.3286,77.9677,https://source.unsplash.com/800x600/?Sailani%20Baba%20Dargah%20Museum%2CSpiritual%2CMaharashtra
Yawal Wildlife Sanctuary Valley,Jalgaon,Wildlife,Low,All,Wildlife,4.8,3837,/static/images/yawal_wildlife_sanctuary_valley.jpg,https://www.youtube.com/embed/sample_yawal_wildlife_sanctuary_valley,Royal Inn Jalgaon,1476,Vivanta Plaza Jalgaon,3721,16.7961,78.9684,https://source.unsplash.com/800x600/?Yawal%20Wildlife%20Sanctuary%20Valley%2CWildlife%2CMaharashtra
Harnai Beach,Ratnagiri,Beach,High,All,Relaxation,4.9,10098,/static/images/harnai_beach.jpg,https://www.youtube.com/embed/sample_harnai_beach,Pleasant Stay Ratnagiri,1450,Orchid Resort Ratnagiri,6124,16.7323,75.9769,https://source.unsplash.com/800x600/?Harnai%20Beach%2CBeach%2CMaharashtra
Malvan Beach Museum,Sindhudurg,Beach,Low,Monsoon,Relaxation,4.6,2736,/static/images/malvan_beach_museum.jpg,https://www.youtube.com/embed/sample_malvan_beach_museum,Pleasant Stay Sindhudurg,1190,Gateway Palace Sindhudurg,5159,18.93,77.9296,https://source.unsplash.com/800x600/?Malvan%20Beach%20Museum%2CBeach%2CMaharashtra
Mehrun Lake View,Jalgaon,Wildlife,Medium,Monsoon,Wildlife,4.1,6762,/static/images/mehrun_lake_view.jpg,https://www.youtube.com/embed/sample_mehrun_lake_view,The Residency Jalgaon,1326,Orchid Resort Jalgaon,6728,20.7376,75.2508,https://source.unsplash.com/800x600/?Mehrun%20Lake%20View%2CWildlife%2CMaharashtra
Nanaj Bird Sanctuary Ancient Site,Latur,Wildlife,Medium,Winter,Wildlife,3.7,5839,/static/images/nanaj_bird_sanctuary_ancient_site.jpg,https://www.youtube.com/embed/sample_nanaj_bird_sanctuary_ancient_site,Heritage Home Latur,1253,The Grand Regency Latur,6134,19.0355,75.55,https://source.unsplash.com/800x600/?Nanaj%20Bird%20Sanctuary%20Ancient%20Site%2CWildlife%2CMaharashtra
Siddheshwar Temple Lake Side,Solapur,Spiritual,Low,Winter,Spiritual,4.7,1628,/static/images/siddheshwar_temple_lake_side.jpg,https://www.youtube.com/embed/sample_siddheshwar_temple_lake_side,Green Leaf Lodge Solapur,1729,The Grand Regency Solapur,6466,18.4658,76.723,https://source.unsplash.com/800x600/?Siddheshwar%20Temple%20Lake%20Side%2CSpiritual%2CMaharashtra
Angre High Seas Point,Sindhudurg,Nature,Low,Winter,Adventure,4.1,1592,/static/images/angre_high_seas_point.jpg,https://www.youtube.com/embed/sample_angre_high_seas_point,The Residency Sindhudurg,1798,Gateway Palace Sindhudurg,6656,20.7312,77.3147,https://source.unsplash.com/800x600/?Angre%20High%20Seas%20Point%2CNature%2CMaharashtra
Bhuikot Fort Valley,Solapur,Fort,Medium,Monsoon,Adventure,3.8,4607,/static/images/bhuikot_fort_valley.jpg,https://www.youtube.com/embed/sample_bhuikot_fort_valley,Royal Inn Solapur,1696,Orchid Resort Solapur,6656,17.717,73.1019,https://source.unsplash.com/800x600/?Bhuikot%20Fort%20Valley%2CFort%2CMaharashtra
Panchgani Memorial,Satara,Fort,Low,All,Adventure,4.2,1802,/static/images/panchgani_memorial.jpg,https://www.youtube.com/embed/sample_panchgani_memorial,The Residency Satara,1472,The Taj Mahal Inn Satara,6443,20.9367,76.0577,https://source.unsplash.com/800x600/?Panchgani%20Memorial%2CFort%2CMaharashtra
